Title,Body
"require(vendor/autoload.php): failed to open stream","<p>I know that this issue has been posted many times, but for me it seems to be a different problem.</p>
<p>Indeed, this error</p>
<blockquote>
<p>Warning: require(vendor/autoload.php): failed to open stream: No such file or directory in C:\xampp\htdocs\site_web\send_mail.php on line 3</p>
<p>Fatal error: require(): Failed opening required 'vendor/autoload.php' (include_path='C:\xampp\php\PEAR') in C:\xampp\htdocs\site_web\send_mail.php on line 3</p>
</blockquote>
<p>appears at the begining of my code from this line:</p>
<pre><code>require 'vendor/autoload.php';
</code></pre>
<p>So, I guess there must be a /vendor/autoload.php file somewhere in my computer (I have installed composer and ran <code>composer require phpmailer/phpmailer</code>).</p>
<p>So, I looked for this file using: <code>dir /s autoload.php</code> in the Windows command line, and found one here: <code>C:\Windows\SysWOW64\vendor\autoload.php</code>,</p>
<p>but for me, <strong>syswow64</strong> folder has nothing to see with <strong>autoload.php</strong>, I don't see what I am missing here.</p>
"
"What characters are allowed in an email address?","<p>I'm not asking about full email validation.</p>

<p>I just want to know what are allowed characters in <code>user-name</code> and <code>server</code> parts of email address. This may be oversimplified, maybe email adresses can take other forms, but I don't care. I'm asking about only this simple form: <code>user-name@server</code> (e.g. wild.wezyr@best-server-ever.com) and allowed characters in both parts.</p>
"
"How can I send an email using PHP?","<p>I am using PHP on a website and I want to add emailing functionality.</p>
<p>I have <a href=""https://en.wikipedia.org/wiki/WampServer"" rel=""noreferrer"">WampServer</a> installed.</p>
<p>How do I send an email using PHP?</p>
"
"How to send an email from JavaScript","<p>I want my website to have the ability to send an email without refreshing the page. So I want to use Javascript.</p>
<pre class=""lang-html prettyprint-override""><code>&lt;form action=&quot;javascript:sendMail();&quot; name=&quot;pmForm&quot; id=&quot;pmForm&quot; method=&quot;post&quot;&gt;
Enter Friend's Email:
&lt;input name=&quot;pmSubject&quot; id=&quot;pmSubject&quot; type=&quot;text&quot; maxlength=&quot;64&quot; style=&quot;width:98%;&quot; /&gt;
&lt;input name=&quot;pmSubmit&quot; type=&quot;submit&quot; value=&quot;Invite&quot; /&gt;
</code></pre>
<p>Here is how I want to call the function, but I'm not sure what to put into the javascript function. From the research I've done I found an example that uses the mailto method, but my understanding is that doesn't actually send directly from the site.</p>
<p>So my question is where can I find what to put inside the JavaScript function to send an email directly from the website.</p>
<pre class=""lang-js prettyprint-override""><code>function sendMail() {
    /* ...code here...    */
}
</code></pre>
"
"Can I set subject/content of email using mailto:?","<p>Is it possible to set the subject/content of email when I use mailto:?</p>
"
"Sending email with PHP from an SMTP server","<pre><code>$from = ""someonelse@example.com"";
$headers = ""From:"" . $from;
echo mail (""borutflis1@gmail.com"" ,""testmailfunction"" , ""Oj"",$headers);
</code></pre>

<p>I have trouble sending email in PHP. I get an error: <code>SMTP server response: 530 SMTP authentication is required</code>.</p>

<p>I was under the impression that you can send email without SMTP to verify. I know that this mail will propably get filtered out, but that doesn't matter right now.</p>

<pre><code>[mail function]
; For Win32 only.
; http://php.net/smtp
SMTP = localhost
; http://php.net/smtp-port
smtp_port = 25

; For Win32 only.
; http://php.net/sendmail-from
sendmail_from = someonelse@example.com
</code></pre>

<p>This is the setup in the <code>php.ini</code> file. How should I set up SMTP? Are there any SMTP  servers that require no verification or must I setup a server myself?</p>
"
"Change email address in Git","<p>I have a project hosted in Git stash (now rebranded as <a href=""https://confluence.atlassian.com/bitbucketserver/bitbucket-rebrand-faq-779298912.html"" rel=""noreferrer"">Bitbucket Server</a>). It is built using Jenkins.
Now I made a typo while installing my Git locally.
Like <code>@ab.example</code> instead of <code>@abc.example</code></p>
<p>After every build, Jenkins sends email notifications and it picks up my incorrect email address from Git commit and tries to send it.</p>
<p>Even after I have changed the email address in my local Git, I still see Jenkins sending the emails to the old incorrect address.</p>
<p>How can I fix this?</p>
"
"How can one use JQuery to validate email addresses?","<p>How can one use JQuery to validate email addresses?</p>
"
"Send email with PHP from html form on submit with the same script","<p>I want to send an email with PHP when a user has finished filling in an HTML form and then emailing information from the form. I want to do it from the same script that displays the web page that has the form.</p>

<p>I found this code, but the mail does not send.</p>

<pre><code>&lt;?php 

if (isset($_POST['submit'])) {
    $to = $_POST['email']; 
    $subject = $_POST['name'];
    $message = getRequestURI();
    $from = ""zenphoto@example.com"";
    $headers = ""From:"" . $from;

    if (mail($to, $subject, $message, $headers)) {
        echo ""Mail Sent."";
    }
    else {
        echo ""failed"";
    }
}

?&gt;
</code></pre>

<p>What is the code to send an email in PHP?</p>
"
"Send email using the GMail SMTP server from a PHP page","<p>I am trying to send an email via GMail's SMTP server from a PHP page, but I get this error:</p>

<blockquote>
  <p>authentication failure [SMTP: SMTP server does no support authentication (code: 250, response: mx.google.com at your service, [98.117.99.235] SIZE 35651584 8BITMIME STARTTLS ENHANCEDSTATUSCODES PIPELINING)]</p>
</blockquote>

<p>Can anyone help?  Here is my code:</p>

<pre><code>&lt;?php
require_once ""Mail.php"";

$from = ""Sandra Sender &lt;sender@example.com&gt;"";
$to = ""Ramona Recipient &lt;ramona@microsoft.com&gt;"";
$subject = ""Hi!"";
$body = ""Hi,\n\nHow are you?"";

$host = ""smtp.gmail.com"";
$port = ""587"";
$username = ""testtest@gmail.com"";
$password = ""testtest"";

$headers = array ('From' =&gt; $from,
  'To' =&gt; $to,
  'Subject' =&gt; $subject);
$smtp = Mail::factory('smtp',
  array ('host' =&gt; $host,
    'port' =&gt; $port,
    'auth' =&gt; true,
    'username' =&gt; $username,
    'password' =&gt; $password));

$mail = $smtp-&gt;send($to, $headers, $body);

if (PEAR::isError($mail)) {
  echo(""&lt;p&gt;"" . $mail-&gt;getMessage() . ""&lt;/p&gt;"");
 } else {
  echo(""&lt;p&gt;Message successfully sent!&lt;/p&gt;"");
 }
?&gt;
</code></pre>
"
